station,valid,tmpf,dwpf,sped,p01m
ORD,2018/1/2 20:51,7,-7,14.95,0
ORD,2018/1/2 21:51,6,-9,16.1,0
ORD,2018/1/2 22:51,4,-8,13.8,0
ORD,2018/1/2 23:51,3,-8,13.8,0
ORD,2018/1/3 0:51,1.9,-7,14.95,0
ORD,2018/1/3 1:51,1.9,-7,13.8,0
ORD,2018/1/3 2:51,4,-6,13.8,0
ORD,2018/1/3 3:51,6,-4,14.95,0
ORD,2018/1/3 4:51,7,-3,13.8,0
ORD,2018/1/3 5:51,8.1,-2,13.8,0
ORD,2018/1/3 6:51,10,-0.9,18.4,0
ORD,2018/1/3 7:51,10.9,0,12.65,0
ORD,2018/1/3 8:51,12,1,11.5,T
ORD,2018/1/3 9:34,12,3,10.35,T
ORD,2018/1/3 9:41,12,4,9.2,T
ORD,2018/1/3 9:51,12,4,9.2,T
ORD,2018/1/3 10:02,12,4,11.5,T
ORD,2018/1/3 10:51,12.9,4,10.35,T
ORD,2018/1/3 11:51,12.9,6,6.9,T
ORD,2018/1/3 12:51,14,8.1,5.75,T
ORD,2018/1/3 13:51,15.1,9,5.75,T
ORD,2018/1/3 14:39,15.1,9,9.2,T
ORD,2018/1/3 14:51,16,9,10.35,T
ORD,2018/1/3 15:51,16,9,12.65,T
ORD,2018/1/3 16:51,16,8.1,11.5,T
ORD,2018/1/3 17:51,17.1,8.1,13.8,T
ORD,2018/1/3 18:51,16,5,18.4,T
ORD,2018/1/3 19:51,16,4,13.8,0
ORD,2018/1/3 20:51,16,3,12.65,0
ORD,2018/1/3 21:51,15.1,3,12.65,0
ORD,2018/1/3 22:51,14,1.9,10.35,0
ORD,2018/1/3 23:51,12.9,3,18.4,T
ORD,2018/1/4 0:51,12,0,12.65,T
ORD,2018/1/4 1:51,10.9,1,13.8,0
ORD,2018/1/4 2:51,10.9,0,9.2,0
ORD,2018/1/4 3:51,9,-0.9,10.35,0
ORD,2018/1/4 4:51,8.1,-2,16.1,0
ORD,2018/1/4 5:51,6,-4,17.25,0
ORD,2018/1/4 6:51,5,-5,13.8,0
ORD,2018/1/4 7:51,4,-5,17.25,0
ORD,2018/1/4 8:51,3,-6,18.4,0
ORD,2018/1/4 9:51,1.9,-7,12.65,0
ORD,2018/1/4 10:51,1,-7,12.65,0
ORD,2018/1/4 11:51,1,-8,11.5,0
ORD,2018/1/4 12:51,1,-8,13.8,0
ORD,2018/1/4 13:51,1,-8,16.1,0
ORD,2018/1/4 14:51,3,-7,14.95,0
ORD,2018/1/4 15:51,5,-7,16.1,0
ORD,2018/1/4 16:51,8.1,-6,11.5,0
ORD,2018/1/4 17:51,10,-5,13.8,0
ORD,2018/1/4 18:51,10.9,-4,12.65,0
ORD,2018/1/4 19:51,12,-4,11.5,0
ORD,2018/1/4 20:51,12,-4,11.5,0
ORD,2018/1/4 21:51,10,-4,11.5,0
ORD,2018/1/4 22:51,8.1,-4,12.65,0
ORD,2018/1/4 23:51,7,-4,11.5,0
ORD,2018/1/5 0:51,6,-5,10.35,0
ORD,2018/1/5 1:51,5,-5,6.9,0
ORD,2018/1/5 2:51,4,-6,8.05,0
ORD,2018/1/5 3:51,4,-5,10.35,0
ORD,2018/1/5 4:51,3,-6,8.05,0
ORD,2018/1/5 5:51,3,-5,10.35,0
ORD,2018/1/5 6:51,1.9,-6,9.2,0
ORD,2018/1/5 7:51,1,-6,9.2,0
ORD,2018/1/5 8:51,0,-7,8.05,0
ORD,2018/1/5 9:51,0,-7,10.35,0
ORD,2018/1/5 10:51,0,-8,10.35,0
ORD,2018/1/5 11:51,0,-8,10.35,0
ORD,2018/1/5 12:51,-0.9,-9,9.2,0
ORD,2018/1/5 13:51,1.9,-8,12.65,0
ORD,2018/1/5 14:51,3,-7,14.95,0
ORD,2018/1/5 15:51,5,-7,13.8,0
ORD,2018/1/5 16:51,8.1,-5,10.35,0
ORD,2018/1/5 17:51,9,-6,17.25,0
ORD,2018/1/5 18:51,10,-6,11.5,0
ORD,2018/1/5 19:51,10.9,-6,13.8,0
ORD,2018/1/5 20:51,10.9,-5,12.65,0
ORD,2018/1/5 21:51,10,-6,10.35,0
ORD,2018/1/5 22:51,7,-6,11.5,0
ORD,2018/1/5 23:51,7,-5,9.2,0
ORD,2018/1/6 0:51,6,-6,9.2,0
ORD,2018/1/6 1:51,4,-6,9.2,0
ORD,2018/1/6 2:51,4,-7,10.35,0
ORD,2018/1/6 3:51,3,-7,9.2,0
ORD,2018/1/6 4:51,1.9,-7,8.05,0
ORD,2018/1/6 5:51,1.9,-7,9.2,0
ORD,2018/1/6 6:51,1,-8,5.75,0
ORD,2018/1/6 7:51,1,-8,8.05,0
ORD,2018/1/6 8:51,0,-9,6.9,0
ORD,2018/1/6 9:51,0,-9,9.2,0
ORD,2018/1/6 10:51,-0.9,-9.9,8.05,0
ORD,2018/1/6 11:51,-0.9,-9.9,10.35,0
ORD,2018/1/6 12:51,-2,-9,8.05,0
ORD,2018/1/6 13:51,-0.9,-8,8.05,0
ORD,2018/1/6 14:51,3,-6,6.9,0
ORD,2018/1/6 15:51,7,-5,8.05,0
ORD,2018/1/6 16:51,10,-5,10.35,0
ORD,2018/1/6 17:51,12,-5,5.75,0
ORD,2018/1/6 18:51,15.1,-6,0,0
ORD,2018/1/6 19:51,14,-6,0,0
ORD,2018/1/6 20:51,15.1,-7,0,0
ORD,2018/1/6 21:51,14,-5,0,0
ORD,2018/1/6 22:51,12.9,-5,4.6,0
ORD,2018/1/6 23:51,12,-4,5.75,0
ORD,2018/1/7 0:51,10,-3,5.75,0
ORD,2018/1/7 1:51,10,-0.9,8.05,0
ORD,2018/1/7 2:51,9,-2,6.9,0
ORD,2018/1/7 3:51,7,-2,6.9,0
ORD,2018/1/7 4:51,8.1,-6,11.5,0
ORD,2018/1/7 5:51,8.1,-5,8.05,0
ORD,2018/1/7 6:51,9,-2,13.8,0
ORD,2018/1/7 7:51,10,-0.9,11.5,0
ORD,2018/1/7 8:51,14,0,13.8,0
ORD,2018/1/7 9:51,15.1,1,12.65,0
ORD,2018/1/7 10:47,15.8,3.2,17.25,T
ORD,2018/1/7 10:51,14,4,16.1,T
ORD,2018/1/7 11:51,15.1,7,14.95,T
ORD,2018/1/7 12:51,17.1,6,20.7,0
ORD,2018/1/7 13:51,18,6,17.25,0
ORD,2018/1/7 14:51,19.9,7,17.25,0
ORD,2018/1/7 15:51,21.9,9,19.55,0
ORD,2018/1/7 16:51,23,10.9,20.7,0
ORD,2018/1/7 17:51,25,12.9,14.95,0
ORD,2018/1/7 18:51,27,15.1,17.25,T
ORD,2018/1/7 19:39,26.1,19,16.1,T
ORD,2018/1/7 19:51,26.1,19.9,17.25,T
ORD,2018/1/7 20:08,27,19.9,16.1,T
ORD,2018/1/7 20:40,27,19.9,18.4,T
ORD,2018/1/7 20:51,27,19.9,13.8,T
ORD,2018/1/7 21:13,28,19.9,13.8,T
ORD,2018/1/7 21:24,28,21,16.1,T
ORD,2018/1/7 21:51,28,21,12.65,T
ORD,2018/1/7 22:34,28.9,21.9,14.95,T
ORD,2018/1/7 22:42,28.9,23,13.8,T
ORD,2018/1/7 22:51,28.9,23,14.95,T
ORD,2018/1/7 23:07,30,23,13.8,T
ORD,2018/1/7 23:51,30,24.1,11.5,T
ORD,2018/1/8 0:07,30,24.1,12.65,T
ORD,2018/1/8 0:23,30,24.1,13.8,T
ORD,2018/1/8 0:51,30.9,24.1,11.5,T
ORD,2018/1/8 1:31,32,24.1,13.8,T
ORD,2018/1/8 1:51,30.9,24.1,12.65,T
ORD,2018/1/8 2:51,32,26.1,13.8,T
ORD,2018/1/8 3:00,32,27,14.95,0.25
ORD,2018/1/8 3:51,33,28,13.8,0.51
ORD,2018/1/8 4:00,32,28,13.8,T
ORD,2018/1/8 4:12,32,28.9,14.95,T
ORD,2018/1/8 4:35,32,28.9,13.8,0.25
ORD,2018/1/8 4:51,32,28.9,13.8,0.25
ORD,2018/1/8 5:00,32,28.9,14.95,T
ORD,2018/1/8 5:41,33,30,13.8,T
ORD,2018/1/8 5:48,33.8,30.2,10.35,T
ORD,2018/1/8 5:51,33,30,12.65,T
ORD,2018/1/8 6:06,33,30,12.65,T
ORD,2018/1/8 6:25,33,30,10.35,T
ORD,2018/1/8 6:51,33,30.9,10.35,T
ORD,2018/1/8 7:03,33,30.9,9.2,T
ORD,2018/1/8 7:30,33,30.9,13.8,T
ORD,2018/1/8 7:51,33,30.9,13.8,T
ORD,2018/1/8 8:51,33,30.9,12.65,T
ORD,2018/1/8 9:51,33,30.9,13.8,T
ORD,2018/1/8 10:51,33,30.9,12.65,0
ORD,2018/1/8 11:18,33,30.9,13.8,0
ORD,2018/1/8 11:48,33.8,30.2,10.35,0
ORD,2018/1/8 11:51,34,30,10.35,0
ORD,2018/1/8 12:28,34,30,11.5,0
ORD,2018/1/8 12:51,34,28.9,11.5,0
ORD,2018/1/8 13:51,34,28,14.95,0
ORD,2018/1/8 14:51,33,28,12.65,0
ORD,2018/1/8 15:51,34,28,12.65,0
ORD,2018/1/8 16:51,34,28,12.65,0
ORD,2018/1/8 17:51,35,28,11.5,0
ORD,2018/1/8 18:51,35,28,16.1,0
ORD,2018/1/8 19:51,36,28,12.65,0
ORD,2018/1/8 20:51,37,28,13.8,0
ORD,2018/1/8 21:51,37,28,12.65,0
ORD,2018/1/8 22:51,35,28,11.5,0
ORD,2018/1/8 23:51,33,28,10.35,0
ORD,2018/1/9 0:51,33,28,11.5,0
ORD,2018/1/9 1:51,32,27,11.5,0
ORD,2018/1/9 2:51,30.9,27,8.05,0
ORD,2018/1/9 3:51,30.9,27,10.35,0
ORD,2018/1/9 4:51,32,27,8.05,0
ORD,2018/1/9 5:51,32,27,6.9,0
ORD,2018/1/9 6:51,30.9,26.1,0,0
ORD,2018/1/9 7:51,28.9,26.1,4.6,0
ORD,2018/1/9 8:51,27,25,4.6,0
ORD,2018/1/9 9:51,28.9,26.1,4.6,0
ORD,2018/1/9 10:51,28.4,26.6,4.6,0
ORD,2018/1/9 11:51,28,25,5.75,0
ORD,2018/1/9 12:51,27,24.1,5.75,0
ORD,2018/1/9 13:15,26.1,24.1,4.6,0
ORD,2018/1/9 13:25,26.1,24.1,4.6,0
ORD,2018/1/9 13:38,26.1,24.1,6.9,0
ORD,2018/1/9 13:51,27,25,3.45,0
ORD,2018/1/9 14:51,28,26.1,5.75,0
ORD,2018/1/9 15:34,28.9,27,6.9,0
ORD,2018/1/9 15:51,28.9,28,4.6,0
ORD,2018/1/9 16:22,30,28,4.6,0
ORD,2018/1/9 16:51,30.9,28,5.75,0
ORD,2018/1/9 17:51,33,28,6.9,0
ORD,2018/1/9 18:28,34,28.9,4.6,0
ORD,2018/1/9 18:51,34,28,5.75,0
ORD,2018/1/9 19:51,34,28,5.75,0
ORD,2018/1/9 20:51,35,28.9,5.75,0
ORD,2018/1/9 21:51,35,28.9,5.75,0
ORD,2018/1/9 22:51,33,28,8.05,0
ORD,2018/1/9 23:51,32,28,6.9,0
ORD,2018/1/10 0:51,30.9,28,10.35,0
ORD,2018/1/10 1:22,30.9,27,9.2,0
ORD,2018/1/10 1:36,30.9,28,9.2,0
ORD,2018/1/10 1:51,30.9,28,12.65,0
ORD,2018/1/10 2:43,30.9,28,6.9,0
ORD,2018/1/10 2:51,30.9,28,9.2,0
ORD,2018/1/10 3:51,28.9,26.1,6.9,0
ORD,2018/1/10 4:51,28,26.1,6.9,0
ORD,2018/1/10 5:51,30,26.1,8.05,0
ORD,2018/1/10 6:09,30,27,9.2,0
ORD,2018/1/10 6:51,30.9,28,8.05,0
ORD,2018/1/10 7:44,32,30,9.2,0
ORD,2018/1/10 7:51,32,30,10.35,0
ORD,2018/1/10 8:08,33,30,10.35,0
ORD,2018/1/10 8:32,33,30.9,9.2,0
ORD,2018/1/10 8:51,33,32,9.2,0
ORD,2018/1/10 9:49,33.8,33.8,12.65,T
ORD,2018/1/10 9:51,34,33,10.35,T
ORD,2018/1/10 10:08,34,33,10.35,T
ORD,2018/1/10 10:51,35,33,8.05,T
ORD,2018/1/10 11:41,36,34,10.35,T
ORD,2018/1/10 11:51,36,34,10.35,0.25
ORD,2018/1/10 12:51,37,36,9.2,T
ORD,2018/1/10 13:04,38,36,10.35,T
ORD,2018/1/10 13:51,39,37,11.5,T
ORD,2018/1/10 14:51,40,38,11.5,T
ORD,2018/1/10 15:51,41,39,12.65,T
ORD,2018/1/10 16:51,42,40,19.55,T
ORD,2018/1/10 17:18,42,40,14.95,T
ORD,2018/1/10 17:41,43,41,16.1,T
ORD,2018/1/10 17:51,43,41,17.25,T
ORD,2018/1/10 18:43,44,42,16.1,T
ORD,2018/1/10 18:51,45,42,20.7,T
ORD,2018/1/10 18:58,45,42,17.25,0
ORD,2018/1/10 19:12,45,43,17.25,0
ORD,2018/1/10 19:51,45,43,20.7,0
ORD,2018/1/10 20:28,46,44,10.35,T
ORD,2018/1/10 20:51,46,44,11.5,T
ORD,2018/1/10 21:51,47,45,16.1,T
ORD,2018/1/10 22:38,48,46,13.8,T
ORD,2018/1/10 22:51,49,46,18.4,T
ORD,2018/1/10 23:22,50,47,20.7,0
ORD,2018/1/10 23:51,51,47,17.25,0
ORD,2018/1/11 0:51,52,48,19.55,0
ORD,2018/1/11 1:51,53,49,21.85,0
ORD,2018/1/11 2:51,54,49,26.45,0
ORD,2018/1/11 3:51,55,49,25.3,0
ORD,2018/1/11 4:51,56,49,25.3,0
ORD,2018/1/11 5:51,56,50,19.55,0
ORD,2018/1/11 6:51,56,50,23,0
ORD,2018/1/11 7:51,56,51,20.7,0
ORD,2018/1/11 8:17,56,51,18.4,0
ORD,2018/1/11 8:51,56,51,18.4,0
ORD,2018/1/11 9:51,56,51,17.25,0
ORD,2018/1/11 10:51,56,51,18.4,0
ORD,2018/1/11 11:49,57.2,51.8,18.4,0
ORD,2018/1/11 11:51,57,52,20.7,0
ORD,2018/1/11 12:51,57,52,21.85,0
ORD,2018/1/11 13:34,56,53,14.95,T
ORD,2018/1/11 13:48,55.4,53.6,17.25,0.25
ORD,2018/1/11 13:51,56,53,21.85,0.25
ORD,2018/1/11 14:15,56,53,14.95,1.02
ORD,2018/1/11 14:31,56,53,17.25,1.52
ORD,2018/1/11 14:51,56,53,14.95,1.78
ORD,2018/1/11 15:51,56,54,9.2,1.78
ORD,2018/1/11 16:51,56,54,9.2,1.78
ORD,2018/1/11 17:28,57,54,13.8,0.25
ORD,2018/1/11 17:51,58,54,13.8,0.25
ORD,2018/1/11 18:51,57,54,14.95,0.25
ORD,2018/1/11 19:23,56,54,16.1,0.25
ORD,2018/1/11 19:32,56,53,17.25,0.51
ORD,2018/1/11 19:41,56,54,13.8,0.51
ORD,2018/1/11 19:51,56,54,13.8,1.02
ORD,2018/1/11 20:03,56,54,11.5,T
ORD,2018/1/11 20:07,56,54,13.8,T
ORD,2018/1/11 20:51,58,55,11.5,0.25
ORD,2018/1/11 21:31,58,54,14.95,0
ORD,2018/1/11 21:51,54,50,10.35,T
ORD,2018/1/11 22:07,52,50,8.05,0.51
ORD,2018/1/11 22:11,52,50,9.2,0.76
ORD,2018/1/11 22:27,52,49,10.35,0.76
ORD,2018/1/11 22:41,51,49,5.75,1.02
ORD,2018/1/11 22:51,51,49,11.5,1.27
ORD,2018/1/11 23:03,51,48,13.8,0.25
ORD,2018/1/11 23:20,46,43,21.85,0.51
ORD,2018/1/11 23:51,39,35,14.95,0.51
ORD,2018/1/12 0:24,36,33,17.25,T
ORD,2018/1/12 0:51,34,30.9,16.1,T
ORD,2018/1/12 1:51,30.9,27,14.95,0
ORD,2018/1/12 2:51,26.1,21.9,20.7,0
ORD,2018/1/12 3:06,26.1,21,17.25,0
ORD,2018/1/12 3:51,25,19.9,19.55,0
ORD,2018/1/12 4:51,24.1,18,18.4,0
ORD,2018/1/12 5:12,23,17.1,14.95,0
ORD,2018/1/12 5:51,23,16,16.1,0
ORD,2018/1/12 6:51,23,16,12.65,0
ORD,2018/1/12 7:48,21.2,15.8,14.95,0
ORD,2018/1/12 7:51,21.9,16,18.4,0
ORD,2018/1/12 8:51,21.9,16,18.4,0
ORD,2018/1/12 9:51,21.9,16,19.55,0
ORD,2018/1/12 10:51,23,16,19.55,0
ORD,2018/1/12 11:51,23,16,14.95,0
ORD,2018/1/12 12:51,21.9,12.9,19.55,0
ORD,2018/1/12 13:51,21,12,19.55,0
ORD,2018/1/12 14:51,21,10,17.25,T
ORD,2018/1/12 15:51,21,10,19.55,T
ORD,2018/1/12 16:51,21,10,25.3,T
ORD,2018/1/12 17:51,21,10.9,23,T
ORD,2018/1/12 18:51,19.9,10,24.15,T
ORD,2018/1/12 19:51,19.9,10,25.3,T
ORD,2018/1/12 20:20,19.9,9,19.55,T
ORD,2018/1/12 20:51,19.9,9,20.7,T
ORD,2018/1/12 21:51,19.9,8.1,21.85,T
ORD,2018/1/12 22:51,19.9,9,18.4,T
ORD,2018/1/12 23:51,19,8.1,18.4,T
ORD,2018/1/13 0:51,19,4,18.4,T
ORD,2018/1/13 1:51,18,1.9,25.3,T
ORD,2018/1/13 2:15,17.1,1,20.7,T
ORD,2018/1/13 2:51,17.1,1.9,18.4,T
ORD,2018/1/13 3:51,16,1,23,0
ORD,2018/1/13 4:51,15.1,-2,20.7,0
ORD,2018/1/13 5:51,14,-0.9,16.1,0
ORD,2018/1/13 6:51,12.9,0,18.4,0
ORD,2018/1/13 7:51,12,0,17.25,0
ORD,2018/1/13 8:51,10.9,0,14.95,0
ORD,2018/1/13 9:51,10,0,13.8,0
ORD,2018/1/13 10:51,8.1,-2,12.65,0
ORD,2018/1/13 11:51,8.1,-2,13.8,0
ORD,2018/1/13 12:51,7,-3,12.65,0
ORD,2018/1/13 13:51,6,-3,12.65,0
ORD,2018/1/13 14:51,8.1,-3,9.2,0
ORD,2018/1/13 15:51,10,-5,11.5,0
ORD,2018/1/13 16:51,10.9,-7,10.35,0
ORD,2018/1/13 17:51,12.9,-7,11.5,0
ORD,2018/1/13 18:51,14,-5,6.9,0
ORD,2018/1/13 19:51,14,-6,5.75,0
ORD,2018/1/13 20:51,16,-6,8.05,0
ORD,2018/1/13 21:51,16,-6,6.9,0
ORD,2018/1/13 22:51,14,-5,8.05,0
ORD,2018/1/13 23:51,12.9,-4,5.75,0
ORD,2018/1/14 0:51,12,-2,6.9,0
ORD,2018/1/14 1:51,12,-3,8.05,0
ORD,2018/1/14 2:51,10,-3,5.75,0
ORD,2018/1/14 3:51,9,-3,4.6,0
ORD,2018/1/14 4:51,9,-3,4.6,0
ORD,2018/1/14 5:51,7,-3,4.6,0
ORD,2018/1/14 6:51,7,-3,4.6,0
ORD,2018/1/14 7:51,7,-3,0,0
ORD,2018/1/14 8:51,7,-3,0,0
ORD,2018/1/14 9:51,7,-3,0,0
ORD,2018/1/14 10:51,6,0,3.45,0
ORD,2018/1/14 11:51,5,-0.9,3.45,0
ORD,2018/1/14 12:51,6,-0.9,0,0
ORD,2018/1/14 13:51,7,0,5.75,0
ORD,2018/1/14 14:51,10.9,0,9.2,0
ORD,2018/1/14 15:51,12.9,1,11.5,0
ORD,2018/1/14 16:51,16,1,11.5,0
ORD,2018/1/14 17:51,17.1,-0.9,8.05,0
ORD,2018/1/14 18:51,19.9,-0.9,10.35,0
ORD,2018/1/14 19:51,19.9,0,14.95,0
ORD,2018/1/14 20:51,21,1.9,11.5,0
ORD,2018/1/14 21:51,21,4,11.5,0
ORD,2018/1/14 22:51,19.9,8.1,14.95,T
ORD,2018/1/14 23:23,19.9,10.9,14.95,T
ORD,2018/1/14 23:36,19.9,12,11.5,T
ORD,2018/1/14 23:43,19,12.9,11.5,T
ORD,2018/1/14 23:51,19,14,12.65,T
ORD,2018/1/15 0:02,19,14,16.1,0.25
ORD,2018/1/15 0:16,19,14,17.25,0.51
ORD,2018/1/15 0:51,18,12,16.1,0.51
ORD,2018/1/15 1:22,18,12,13.8,T
ORD,2018/1/15 1:51,18,12,16.1,T
ORD,2018/1/15 2:01,18,12,12.65,T
ORD,2018/1/15 2:08,18,12,16.1,T
ORD,2018/1/15 2:29,18,12.9,12.65,0.25
ORD,2018/1/15 2:39,18,12.9,10.35,0.25
ORD,2018/1/15 2:51,18,12.9,16.1,0.51
ORD,2018/1/15 3:37,18,14,13.8,0.25
ORD,2018/1/15 3:51,18,14,13.8,0.25
ORD,2018/1/15 4:06,18,14,13.8,0.25
ORD,2018/1/15 4:51,18,12.9,12.65,0.51
ORD,2018/1/15 5:08,18,12.9,14.95,0.25
ORD,2018/1/15 5:33,18,12.9,17.25,0.25
ORD,2018/1/15 5:51,18,12.9,16.1,0.25
ORD,2018/1/15 6:07,18,12.9,14.95,T
ORD,2018/1/15 6:51,19,14,13.8,0.25
ORD,2018/1/15 7:09,19,14,13.8,T
ORD,2018/1/15 7:22,19,14,12.65,T
ORD,2018/1/15 7:46,19.4,14,16.1,0.25
ORD,2018/1/15 7:51,19,14,12.65,0.25
ORD,2018/1/15 8:48,19.4,14,13.8,0.25
ORD,2018/1/15 8:51,19,14,12.65,0.25
ORD,2018/1/15 9:51,19,15.1,11.5,0.25
ORD,2018/1/15 10:51,19,15.1,10.35,0.51
ORD,2018/1/15 10:57,19,15.1,9.2,T
ORD,2018/1/15 11:51,19,15.1,9.2,0.51
ORD,2018/1/15 12:43,19,15.1,11.5,0.25
ORD,2018/1/15 12:51,19,15.1,9.2,0.25
ORD,2018/1/15 13:17,19,15.1,9.2,0.25
ORD,2018/1/15 13:48,19.4,15.8,9.2,0.25
ORD,2018/1/15 13:51,19,15.1,10.35,0.25
ORD,2018/1/15 14:00,19,15.1,11.5,T
ORD,2018/1/15 14:51,19.9,15.1,10.35,T
ORD,2018/1/15 15:09,19.9,16,9.2,T
ORD,2018/1/15 15:51,21,16,6.9,0.25
ORD,2018/1/15 16:51,21.9,17.1,4.6,0.25
ORD,2018/1/15 17:51,23,19,5.75,T
ORD,2018/1/15 18:51,21,16,13.8,T
ORD,2018/1/15 19:51,19,12.9,13.8,T
ORD,2018/1/15 20:36,17.1,10,12.65,T
ORD,2018/1/15 20:51,17.1,10.9,10.35,T
ORD,2018/1/15 21:18,16,10,10.35,T
ORD,2018/1/15 21:33,16,10,13.8,T
ORD,2018/1/15 21:51,16,9,12.65,T
ORD,2018/1/15 22:51,15.1,9,11.5,T
ORD,2018/1/15 23:07,14,9,9.2,T
ORD,2018/1/15 23:51,12.9,7,13.8,T
ORD,2018/1/16 0:42,12.9,7,11.5,T
ORD,2018/1/16 0:51,12,7,12.65,T
ORD,2018/1/16 1:51,12,7,10.35,T
ORD,2018/1/16 2:51,10.9,7,11.5,0.25
ORD,2018/1/16 3:11,12,7,9.2,T
ORD,2018/1/16 3:51,12,7,10.35,0.25
ORD,2018/1/16 4:38,10.9,6,9.2,T
ORD,2018/1/16 4:51,10.9,6,10.35,T
ORD,2018/1/16 5:51,10,5,12.65,T
ORD,2018/1/16 6:28,10,5,11.5,T
ORD,2018/1/16 6:37,10,5,12.65,T
ORD,2018/1/16 6:47,10.4,5,8.05,T
ORD,2018/1/16 6:51,10,5,11.5,T
ORD,2018/1/16 7:16,9,5,9.2,T
ORD,2018/1/16 7:22,9,4,9.2,T
ORD,2018/1/16 7:29,9,4,10.35,0.25
ORD,2018/1/16 7:51,9,4,9.2,0.25
ORD,2018/1/16 8:08,9,4,9.2,T
ORD,2018/1/16 8:18,9,4,9.2,T
ORD,2018/1/16 8:51,10,4,10.35,T
ORD,2018/1/16 9:51,10,4,8.05,T
ORD,2018/1/16 10:34,10,5,8.05,T
ORD,2018/1/16 10:51,10.9,6,11.5,T
ORD,2018/1/16 11:51,12.9,9,13.8,T
ORD,2018/1/16 12:26,14,9,13.8,T
ORD,2018/1/16 12:51,14,9,12.65,T
ORD,2018/1/16 13:24,15.1,10.9,11.5,T
ORD,2018/1/16 13:34,16,10.9,11.5,T
ORD,2018/1/16 13:51,16,10.9,12.65,T
ORD,2018/1/16 14:51,17.1,12,13.8,T
ORD,2018/1/16 15:51,19,12.9,14.95,0
ORD,2018/1/16 16:51,21,14,14.95,T
ORD,2018/1/16 17:08,21,14,12.65,T
ORD,2018/1/16 17:48,21.2,15.8,12.65,T
ORD,2018/1/16 17:51,21.9,15.1,12.65,T
ORD,2018/1/16 17:58,21.9,14,13.8,T
ORD,2018/1/16 18:51,24.1,12,12.65,T
ORD,2018/1/16 19:51,24.1,12,12.65,0
ORD,2018/1/16 20:51,25,12,13.8,0
ORD,2018/1/16 21:51,24.1,10.9,13.8,0
ORD,2018/1/16 22:51,21.9,10,13.8,0
ORD,2018/1/16 23:51,19.9,9,12.65,0
ORD,2018/1/17 0:51,18,9,11.5,0
ORD,2018/1/17 1:51,17.1,9,13.8,0
ORD,2018/1/17 2:51,16,8.1,8.05,0
ORD,2018/1/17 3:51,15.1,8.1,9.2,0
ORD,2018/1/17 4:51,14,8.1,9.2,0
ORD,2018/1/17 5:51,12,7,8.05,0
ORD,2018/1/17 6:51,12,7,8.05,0
ORD,2018/1/17 7:51,10,5,6.9,0
ORD,2018/1/17 8:51,9,4,10.35,0
ORD,2018/1/17 9:51,8.1,3,8.05,0
ORD,2018/1/17 10:51,6,1.9,5.75,0
ORD,2018/1/17 11:51,5,1,5.75,0
ORD,2018/1/17 12:51,5,0,6.9,0
